user,item,ts
0,0,0
1,1,9
2,2,12
3,3,12
4,4,22
4,5,22
4,6,22
5,7,22
6,8,27
4,9,32
3,10,33
7,11,33
8,12,33
8,13,33
8,14,33
8,15,34
8,16,37
9,17,40
3,18,49
3,19,49
3,20,49
3,21,49
3,22,51
10,23,52
10,24,52
3,25,52
6,26,53
3,8,54
8,1,56
8,27,56
2,28,57
11,29,66
11,30,66
12,31,78
12,32,88
7,33,102
4,34,119
4,35,119
13,36,119
3,37,120
2,38,126
3,39,126
8,40,127
8,41,128
14,42,130
15,43,140
16,44,140
16,45,140
8,46,148
4,47,162
14,48,162
8,6,164
11,49,167
17,50,169
18,51,170
17,52,172
18,1,172
18,53,172
18,54,173
18,6,173
19,4,173
19,23,173
19,55,173
19,1,173
19,3,173
19,27,173
19,7,173
19,56,173
19,57,173
19,58,173
20,59,176
20,60,176
21,61,176
22,62,177
18,63,177
18,64,177
18,65,177
18,66,177
18,67,177
18,68,177
18,69,177
11,70,179
11,71,179
8,20,181
18,72,182
23,73,182
23,33,182
8,58,182
8,57,183
8,60,183
19,74,186
19,66,186
19,75,186
24,59,189
25,53,190
26,35,192
26,9,192
18,76,193
8,77,193
8,11,194
8,63,195
16,78,197
8,79,198
8,80,198
18,81,200
18,46,203
27,82,204
27,83,205
27,59,206
27,1,206
27,84,206
28,85,207
13,9,210
13,75,210
27,86,211
26,87,211
27,88,212
29,89,217
20,33,218
20,90,218
27,91,219
27,92,219
30,93,219
8,94,219
31,76,220
27,24,221
27,95,221
29,4,221
29,96,221
29,97,221
11,98,221
26,99,223
32,80,224
31,100,226
31,101,227
31,102,227
31,103,227
31,104,227
8,105,230
31,61,231
31,106,231
31,107,231
31,108,232
32,109,232
26,86,232
33,110,233
33,111,233
18,112,233
18,113,234
18,114,234
18,115,234
2,36,234
2,76,234
30,116,235
8,85,235
8,109,238
34,117,239
35,118,239
18,119,241
18,120,241
18,121,241
2,92,241
18,77,242
18,122,242
36,123,242
8,124,244
37,99,246
32,125,247
38,126,247
38,127,247
31,128,248
31,129,248
31,130,248
20,50,248
38,131,248
38,27,248
38,50,248
8,132,248
8,101,248
39,133,248
18,134,249
40,135,254
40,136,254
40,137,254
36,138,254
36,135,254
13,139,255
13,84,255
27,58,259
38,140,259
15,141,260
15,11,260
41,142,261
31,143,262
8,142,263
42,144,265
42,145,265
8,146,265
8,34,268
38,6,269
2,147,270
8,133,271
8,59,273
36,148,273
14,149,276
26,67,277
43,150,277
18,151,278
18,152,278
44,153,279
2,66,281
2,154,281
2,155,281
8,156,282
14,128,282
45,61,282
2,6,283
2,157,283
2,158,283
8,159,284
8,111,284
8,160,284
8,31,285
46,161,286
2,162,287
46,30,287
47,46,288
47,134,288
47,163,288
45,59,289
17,51,290
17,164,290
32,137,290
2,165,291
46,70,294
46,166,294
44,167,296
14,93,297
48,168,299
18,169,303
46,29,304
2,97,307
43,170,309
43,171,309
48,172,310
49,173,311
50,174,311
27,141,312
49,8,312
51,6,317
48,175,317
48,176,317
8,152,320
52,177,320
53,12,320
53,178,320
53,148,320
53,172,320
17,179,322
54,59,322
55,56,322
40,180,322
40,10,322
40,80,322
40,42,322
40,52,322
40,60,322
40,172,322
18,181,323
18,182,323
18,183,323
40,38,323
40,184,323
40,185,323
4,67,324
4,186,324
48,17,325
53,63,327
30,158,328
30,187,328
44,188,328
4,139,329
20,23,331
27,189,334
27,190,334
7,146,334
7,191,334
7,116,334
7,69,334
56,90,335
56,26,335
48,75,338
48,60,338
7,32,339
50,192,340
30,147,341
48,127,344
48,20,344
50,9,344
15,6,345
8,193,346
30,194,347
30,66,347
30,195,347
28,172,348
27,196,350
27,143,352
28,5,353
57,197,357
32,198,359
30,125,360
58,199,362
30,67,362
59,51,364
48,128,367
8,200,367
34,201,370
60,4,372
8,202,372
45,74,372
32,60,373
61,203,373
59,63,374
48,204,378
8,205,378
26,206,381
8,207,383
8,151,384
8,208,384
8,209,384
31,210,386
31,211,386
31,212,386
62,213,386
30,214,388
47,8,390
47,215,390
56,28,390
8,216,391
8,48,391
50,194,392
50,217,393
32,111,394
50,136,394
51,35,396
63,218,398
48,219,399
50,92,400
64,184,401
64,38,402
65,20,402
65,187,402
48,220,403
66,221,404
8,222,404
8,223,407
48,84,408
67,224,415
67,144,415
67,53,415
67,150,415
67,63,416
68,143,416
69,46,422
70,149,422
70,225,422
70,1,422
70,209,422
70,17,422
70,146,422
44,26,423
60,86,424
8,219,425
8,226,425
8,147,425
8,227,425
8,228,425
8,229,425
18,97,427
48,230,427
8,187,427
65,224,427
69,231,428
8,232,428
8,62,429
71,62,430
71,180,431
60,221,431
72,233,431
30,234,432
30,99,434
73,235,435
73,236,435
73,237,435
71,59,435
74,10,435
63,238,437
48,239,437
30,127,441
30,240,441
30,241,442
33,2,443
75,141,444
75,176,444
75,242,444
75,52,444
76,12,444
44,76,445
30,243,446
30,170,447
48,244,448
60,245,449
48,1,451
65,45,451
77,61,452
77,224,453
29,246,453
30,119,453
30,247,453
18,248,454
18,235,455
18,249,455
30,250,455
